checksumStart,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,425,-1,-4,350,68.00,-9,-11,-12,0,0,88282,1147,0.81,-0.21,10.57,-0.03,-0.02,0.15,-1006,-854,-1201,-1138,24,4.00,0,0.00,0.00,0,0,254

201,1107,-1,-4,350,54.00,-12,-12,0,12,5,88281,1147,0.78,-0.27,10.60,-0.03,0.16,-0.04,-1006,-850,-1202,-1138,24,4.00,0,0.00,0.00,0,0,254

201,1783,-1,-4,351,49.00,-15,-15,0,84,-1,88281,1147,0.83,-0.21,10.64,-0.09,0.04,-0.04,-1005,-851,-1201,-1137,24,4.00,0,0.00,0.00,0,0,254

201,2364,-1,-4,350,48.00,-15,-16,0,20,-2,88279,1147,0.76,-0.21,10.56,0.03,0.04,0.09,-1005,-852,-1201,-1137,24,4.00,0,0.00,0.00,0,0,254

201,2926,-1,-4,350,48.00,-16,-16,0,-28,-4,88280,1147,0.77,-0.24,10.55,-0.15,-0.02,-0.04,-1006,-853,-1199,-1137,24,4.00,0,0.00,0.00,0,0,254

201,3522,-1,-4,350,53.00,-13,-14,0,56,7,88278,1147,0.84,-0.25,10.55,-0.15,-0.02,-0.10,-1006,-851,-1200,-1138,24,4.00,0,0.00,0.00,0,0,254

201,4092,-1,-4,350,57.00,-10,-10,0,20,17,88282,1147,0.73,-0.17,10.61,-0.45,0.65,-0.16,-1006,-850,-1200,-1140,24,4.00,0,0.00,0.00,0,0,254

201,4664,-1,-3,350,48.00,-16,-17,-12,56,-6,88279,1147,0.80,-0.25,10.60,-0.27,0.29,0.09,-334,-849,-1227,-1140,24,4.00,0,0.00,0.00,0,0,254

