checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,47511,1206444,-1,10,326,1.14,9,0,-50,-29,10,87430,1226,1.95,-0.37,10.21,0.05,-0.24,-0.24,139,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,47798,1206732,-2,10,327,1.14,9,0,-51,-29,10,87427,1227,1.94,-0.35,10.10,0.11,-0.17,0.01,142,1075,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,48085,1207019,-2,10,326,1.14,9,0,-50,-29,10,87428,1226,1.96,-0.41,10.14,-0.01,-0.11,0.13,141,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,48373,1207306,-1,10,326,1.14,9,0,-50,-29,10,87431,1226,1.95,-0.40,10.21,0.11,-0.05,0.19,142,1075,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,48660,1207593,-2,10,326,1.14,9,0,-51,-29,10,87429,1226,1.89,-0.42,10.17,0.17,-0.17,-0.05,140,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,48851,1207881,-2,10,327,1.14,9,0,-51,-29,10,87429,1227,1.94,-0.44,10.07,0.11,-0.24,0.01,140,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,49043,1208072,-2,10,326,1.14,9,0,-51,-29,10,87429,1226,1.96,-0.34,10.14,-0.07,-0.17,0.01,141,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,49234,1208263,-2,10,327,1.14,9,0,-50,-29,10,87429,1227,1.94,-0.43,10.13,0.17,-0.05,0.01,142,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,49425,1208454,-2,10,326,1.14,9,0,-50,-29,10,87434,1226,1.93,-0.37,10.13,-0.13,-0.05,0.13,144,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,49713,1208647,-2,11,327,1.14,9,0,-51,-29,11,87429,1226,1.95,-0.42,10.15,0.05,0.01,-0.05,143,1074,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,50000,1208933,-2,10,326,1.22,9,0,-51,-29,10,87430,1226,1.90,-0.40,10.15,0.17,-0.05,0.01,140,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,50287,1209221,-2,10,326,1.14,9,0,-50,-29,10,87431,1226,1.89,-0.33,10.16,-0.01,0.19,0.01,145,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,50575,1209506,-2,10,327,1.07,9,0,-51,-29,10,87432,1227,1.92,-0.41,10.13,-0.01,-0.11,-0.05,145,1074,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,50861,1209796,-2,10,326,1.14,9,0,-50,-29,10,87428,1227,1.93,-0.42,10.16,-0.01,-0.17,0.13,144,1075,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,51148,1210082,-2,10,326,1.14,9,0,-51,-29,10,87431,1226,1.90,-0.39,10.16,0.11,-0.24,0.01,142,1074,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,51436,1210369,-2,10,326,1.14,9,0,-51,-29,10,87433,1227,1.97,-0.35,10.10,0.17,-0.11,0.07,143,1075,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,51723,1210656,-2,10,326,1.07,9,0,-50,-29,10,87430,1226,1.93,-0.39,10.15,0.05,-0.11,0.13,142,1074,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,52010,1210943,-2,10,326,1.14,10,0,-50,-29,10,87429,1226,1.90,-0.42,10.10,0.11,-0.11,0.13,145,1075,-41,3,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,52297,1211231,-2,10,326,1.14,9,0,-51,-29,10,87428,1227,1.93,-0.40,10.07,0.11,-0.11,0.07,146,1074,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,52584,1211516,-2,10,327,1.14,9,0,-51,-29,10,87431,1226,1.91,-0.39,10.15,-0.07,0.01,0.01,143,1074,-41,2,24,100,8, 35.702160, 51.350807,1243.58,0.16,254

201,52871,1211805,-2,10,327,1.14,9,0,-51,-29,10,87430,1227,1.92,-0.37,10.22,0.05,-0.11,0.01,143,1074,-41,3,24,100,8, 35.702148, 51.350784,1243.58,0.15,254

201,53159,1212092,-2,11,326,1.14,9,0,-51,-29,11,87430,1226,1.93,-0.43,10.20,-0.01,-0.05,0.07,140,1074,-41,2,24,100,8, 35.702148, 51.350784,1243.58,0.15,254

201,53350,1212379,-2,10,326,1.22,9,0,-51,-29,10,87429,1226,1.90,-0.41,10.10,-0.07,-0.24,0.01,142,1074,-41,2,24,100,8, 35.702148, 51.350784,1243.58,0.15,254

201,53638,1212570,-2,10,326,1.22,9,0,-51,-29,10,87431,1226,1.95,-0.43,10.14,-0.07,-0.05,-0.05,143,1074,-41,2,24,100,8, 35.702148, 51.350784,1243.58,0.15,254

201,53924,1212858,-2,10,326,1.22,9,0,-51,-29,10,87431,1226,1.94,-0.37,10.12,0.05,-0.05,0.01,141,1074,-41,2,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,54212,1213145,-2,10,326,1.14,9,0,-51,-29,10,87433,1226,1.90,-0.39,10.19,0.17,-0.11,0.07,141,1074,-41,2,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,54499,1213431,-2,10,326,1.22,9,0,-51,-29,10,87431,1226,1.92,-0.37,10.03,0.05,-0.24,-0.05,144,1075,-41,3,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,54787,1213720,-2,10,326,1.14,9,0,-51,-29,10,87430,1226,1.92,-0.42,10.04,-0.01,-0.11,-0.05,142,1074,-41,2,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,55169,1214007,-2,10,326,1.14,10,0,-50,-29,10,87428,1226,1.92,-0.38,10.11,0.17,-0.11,-0.05,143,1074,-41,3,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,55457,1214390,-2,10,326,1.14,9,0,-51,-29,10,87431,1226,1.96,-0.41,10.18,0.05,-0.17,-0.05,141,1074,-41,3,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,55648,1214678,-2,10,326,1.14,9,0,-51,-29,10,87429,1226,1.92,-0.39,10.21,0.11,-0.24,0.01,144,1074,-41,2,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,55839,1214868,-2,10,326,1.22,9,0,-51,-29,10,87431,1226,1.91,-0.38,10.14,0.05,-0.17,-0.12,144,1075,-41,3,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,56030,1215059,-2,10,326,1.14,9,0,-51,-28,10,87432,1226,1.92,-0.37,10.10,0.05,-0.11,0.07,146,1074,-41,3,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,56318,1215250,-2,10,327,1.14,9,0,-50,-29,10,87433,1226,1.96,-0.37,10.12,0.05,-0.05,0.07,143,1074,-41,2,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,56509,1215537,-2,10,326,1.14,9,0,-51,-29,10,87431,1226,1.90,-0.39,10.15,-0.01,-0.24,0.07,140,1075,-41,2,24,100,8, 35.702145, 51.350780,1243.58,0.03,254

201,56700,1215730,-2,10,327,1.22,9,0,-51,-29,10,87430,1227,1.86,-0.39,10.12,-0.01,-0.05,0.01,148,1074,-41,2,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,56892,1215921,-1,10,326,1.14,9,0,-51,-29,10,87430,1226,1.93,-0.40,10.03,0.11,-0.11,0.01,142,1074,-41,3,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,57083,1216112,-2,10,326,1.14,9,0,-50,-29,10,87430,1226,1.86,-0.44,10.10,0.11,-0.17,-0.05,138,1074,-41,3,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,57275,1216304,-2,10,326,1.14,9,0,-50,-29,10,87433,1226,1.90,-0.40,10.09,0.17,-0.17,-0.12,141,1074,-41,3,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,57467,1216494,-2,11,326,1.22,9,0,-51,-29,11,87427,1226,1.91,-0.38,10.14,-0.07,-0.05,0.01,138,1074,-41,3,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,57754,1216687,-2,10,327,1.14,9,0,-50,-29,10,87432,1226,1.92,-0.44,10.15,-0.01,-0.17,0.01,141,1075,-41,2,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,57945,1216973,-2,10,326,1.14,9,0,-50,-29,10,87431,1226,1.96,-0.40,10.15,-0.01,0.13,0.13,141,1075,-41,3,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,58137,1217165,-2,10,326,1.14,9,0,-51,-29,10,87431,1227,1.95,-0.39,10.10,0.24,-0.11,0.13,139,1074,-41,2,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,58328,1217355,-2,10,327,1.14,9,0,-51,-29,10,87430,1226,1.94,-0.42,10.11,0.11,-0.17,0.01,140,1074,-41,3,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,58519,1217548,-2,10,326,1.14,9,0,-51,-29,10,87431,1226,1.87,-0.35,10.16,0.05,-0.05,0.01,140,1074,-41,2,24,100,8, 35.702141, 51.350777,1243.58,0.05,254

201,58711,1217739,-2,10,326,1.22,9,0,-51,-29,10,87430,1227,1.95,-0.38,10.16,-0.01,-0.05,-0.05,142,1075,-41,3,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,58998,1217931,-2,10,326,1.14,9,0,-50,-29,10,87435,1226,1.95,-0.37,10.18,0.05,-0.24,0.07,140,1075,-41,3,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,59285,1218217,-2,10,326,1.22,9,0,-51,-29,10,87429,1227,1.85,-0.41,10.17,0.11,-0.24,0.13,141,1075,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,59572,1218504,-2,10,326,1.14,9,0,-51,-29,10,87430,1227,1.90,-0.42,10.16,0.17,-0.17,0.01,141,1074,-41,3,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,59860,1218793,-2,10,326,1.14,9,0,-50,-29,10,87430,1227,1.91,-0.43,10.14,0.05,-0.17,0.07,142,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,60147,1219079,-2,10,326,1.14,9,0,-50,-29,10,87431,1226,1.91,-0.37,10.21,0.05,-0.11,0.01,141,1075,-41,3,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,60433,1219366,-2,10,326,0.99,9,0,-50,-29,10,87430,1226,1.90,-0.34,10.15,0.24,-0.17,0.01,140,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,60626,1219654,-2,10,326,1.14,9,0,-51,-29,10,87428,1226,1.94,-0.43,10.13,-0.01,-0.11,-0.12,141,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,60817,1219846,-1,11,327,1.14,9,0,-51,-29,11,87430,1226,1.94,-0.42,10.21,0.05,-0.30,-0.05,138,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,61008,1220036,-2,10,327,1.14,9,0,-50,-29,10,87430,1226,1.93,-0.40,10.13,0.05,-0.11,0.19,140,1074,-41,3,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,61200,1220228,-2,10,326,1.14,9,0,-51,-29,10,87430,1226,1.91,-0.35,10.14,0.11,-0.11,-0.05,147,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,61391,1220418,-2,10,326,1.14,9,0,-51,-29,10,87431,1227,1.87,-0.41,10.12,0.05,-0.30,0.07,142,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,61679,1220612,-2,10,326,1.14,9,0,-50,-29,10,87433,1226,1.89,-0.37,10.08,0.17,-0.11,0.07,140,1074,-41,2,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

201,61965,1220898,-2,10,326,1.22,9,0,-51,-29,10,87433,1226,1.90,-0.40,10.05,0.17,-0.17,0.01,143,1074,-41,3,24,100,8, 35.702141, 51.350769,1243.58,0.04,254

