checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,131706,1067716,-1,28,329,1.14,9,0,-64,-18,28,87946,1178,4.91,-0.30,9.10,-0.07,0.05,0.03,1648,1114,300,-23,22,583,13, 35.702095, 51.350651,10.00,0.05,254

201,131994,1068003,-1,28,329,1.14,9,0,-65,-18,28,87950,1178,4.94,-0.35,9.09,-0.01,-0.07,-0.10,1644,1116,300,-23,22,585,13, 35.702095, 51.350651,10.00,0.05,254

201,132280,1068292,-2,28,329,1.14,9,0,-65,-18,28,87945,1178,4.92,-0.25,9.00,0.11,-0.01,-0.04,1647,1115,300,-24,22,581,13, 35.702095, 51.350651,10.00,0.05,254

201,132567,1068577,-1,28,329,1.07,9,0,-65,-19,28,87947,1178,4.91,-0.28,9.00,-0.01,-0.07,0.09,1649,1116,300,-23,22,584,13, 35.702095, 51.350651,10.00,0.05,254

201,132855,1068865,-1,28,329,1.22,9,0,-65,-18,28,87947,1178,4.96,-0.28,8.96,-0.07,0.05,-0.10,1646,1115,300,-24,22,583,13, 35.702095, 51.350651,10.00,0.05,254

201,133142,1069153,-1,28,329,1.14,9,0,-64,-18,28,87947,1178,4.91,-0.26,9.04,-0.01,-0.07,0.09,1647,1116,300,-23,22,584,13, 35.702095, 51.350651,10.00,0.05,254

201,133430,1069440,-1,28,329,1.14,9,0,-64,-18,28,87946,1178,4.92,-0.30,9.05,-0.13,-0.01,-0.16,1645,1115,300,-23,22,581,13, 35.702099, 51.350651,10.00,0.04,254

201,133716,1069726,-1,28,329,1.22,9,0,-65,-19,28,87947,1178,4.97,-0.24,8.99,0.05,-0.19,-0.04,1650,1116,300,-24,22,583,13, 35.702099, 51.350651,10.00,0.04,254

201,134003,1070013,-2,28,329,1.07,9,0,-64,-18,28,87947,1178,4.94,-0.28,8.94,-0.13,-0.01,0.03,1645,1115,300,-23,22,584,13, 35.702099, 51.350651,10.00,0.04,254

201,134387,1070301,-1,29,329,1.07,9,0,-64,-18,29,87947,1178,4.92,-0.30,9.00,-0.07,-0.01,-0.10,1647,1116,300,-23,22,585,13, 35.702099, 51.350651,10.00,0.04,254

201,134674,1070684,-2,28,329,1.14,9,0,-64,-18,28,87950,1178,4.95,-0.30,9.04,-0.01,-0.07,-0.04,1648,1115,300,-23,22,583,13, 35.702099, 51.350651,10.00,0.04,254

201,134961,1070970,-2,28,329,1.14,9,0,-64,-18,28,87948,1178,4.96,-0.24,9.10,-0.01,-0.01,-0.10,1649,1115,300,-23,22,584,13, 35.702099, 51.350651,10.00,0.04,254

201,135248,1071258,-1,28,329,1.14,9,0,-64,-18,28,87947,1178,4.95,-0.33,9.00,-0.31,0.05,-0.10,1649,1116,300,-23,22,583,13, 35.702099, 51.350651,10.00,0.04,254

201,135440,1071545,-1,28,329,1.07,9,0,-64,-18,28,87948,1178,4.96,-0.30,8.95,-0.13,-0.19,0.09,1646,1115,300,-24,22,582,13, 35.702099, 51.350651,10.00,0.04,254

201,135727,1071736,-1,28,329,1.14,10,0,-65,-18,28,87948,1178,4.94,-0.31,9.03,-0.19,-0.07,-0.04,1651,1115,300,-23,22,584,13, 35.702099, 51.350651,10.00,0.04,254

201,136014,1072024,-1,28,329,1.07,9,0,-64,-18,28,87948,1178,4.93,-0.24,9.07,-0.19,-0.19,-0.10,1640,1114,300,-23,22,585,13, 35.702099, 51.350651,10.00,0.04,254

201,136302,1072312,-1,28,329,1.14,9,0,-64,-18,28,87947,1178,4.98,-0.34,9.08,-0.01,-0.13,-0.10,1644,1115,300,-23,22,585,13, 35.702099, 51.350651,10.00,0.04,254

201,136589,1072598,-2,28,329,1.14,9,0,-64,-18,28,87950,1178,4.97,-0.28,9.10,-0.07,-0.19,-0.10,1649,1115,300,-23,22,585,13, 35.702099, 51.350651,10.00,0.04,254

201,136973,1072885,-2,28,329,1.14,9,0,-65,-18,28,87948,1178,4.94,-0.26,8.99,-0.19,0.05,0.09,1650,1115,300,-23,22,586,13, 35.702099, 51.350651,10.00,0.04,254

201,137259,1073268,-1,28,329,1.07,9,0,-65,-18,28,87945,1178,4.95,-0.31,9.04,-0.19,-0.07,0.03,1649,1115,300,-24,22,585,13, 35.702099, 51.350651,10.00,0.04,254

201,137450,1073555,-1,28,329,1.14,9,0,-65,-18,28,87944,1178,4.93,-0.27,9.11,-0.19,-0.13,0.03,1648,1115,300,-24,22,585,13, 35.702099, 51.350651,10.00,0.04,254

201,137641,1073746,-1,28,329,1.07,9,0,-65,-18,28,87950,1178,4.97,-0.31,9.06,0.05,-0.07,0.09,1647,1115,300,-23,22,585,13, 35.702099, 51.350651,10.00,0.04,254

