checksumStart,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,419965,-3,14,327,1.00,3,3,0,0,19,88645,1113,2.65,-0.50,10.05,-5.16,-15.90,13.10,123,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,420253,-2,14,327,1.00,3,3,0,0,18,88648,1113,2.61,-0.55,10.05,-5.77,-16.87,13.28,120,1086,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,420541,-2,14,327,1.00,3,3,0,0,18,88648,1113,2.66,-0.54,9.94,-7.24,-17.30,13.77,119,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,420827,-3,14,327,1.00,3,3,0,0,19,88646,1113,2.65,-0.52,10.00,-5.41,-15.77,12.55,117,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,421211,-2,14,327,1.00,3,3,0,0,19,88646,1113,2.67,-0.51,10.02,-6.63,-15.59,13.10,121,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,421498,-2,14,327,1.00,3,3,0,0,18,88647,1113,2.63,-0.48,9.97,-6.20,-15.90,14.14,119,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,421784,-2,14,327,1.00,3,3,0,0,18,88644,1113,2.62,-0.50,10.01,-7.42,-16.08,12.61,119,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,421977,-3,14,327,1.00,3,3,0,0,18,88647,1113,2.62,-0.55,9.92,-6.02,-15.59,12.37,121,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,422167,-3,14,327,1.00,3,3,0,0,19,88650,1113,2.62,-0.47,10.10,-5.29,-16.69,13.89,121,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,422359,-2,14,327,1.00,3,3,0,0,18,88650,1113,2.61,-0.44,9.98,-6.87,-15.90,14.08,121,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,422551,-2,14,327,1.00,3,3,0,0,19,88647,1113,2.61,-0.49,9.98,-6.93,-16.32,13.40,124,1087,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,422742,-3,14,327,1.00,3,3,0,0,18,88646,1113,2.69,-0.53,10.02,-7.11,-15.59,13.89,113,1088,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,422933,-2,14,327,1.00,3,3,0,0,19,88645,1113,2.63,-0.53,9.94,-6.44,-16.38,11.82,111,1088,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

201,423124,-2,14,327,1.00,3,3,0,0,19,88650,1113,2.57,-0.53,10.02,-5.96,-15.29,12.86,116,1088,1,-8,26,35.00,11, 35.702141, 51.350891,5.00,0.12,254

