checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,p,q,r,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd201,18668,6863,-1,-10,352,4.89,10,0,-17,39,-10,88006,1172,-1.79,-0.24,9.63,0.06,0.32,0.07,1366,973,-294,24,25,0,0, 35.702179, 51.350883,0.00,0.44,254
201,25370,13564,-1,-10,352,3.46,11,0,-17,39,-10,88002,1173,-1.78,-0.22,9.64,-0.06,0.02,0.07,1368,972,-294,24,25,0,0, 35.702171, 51.350906,0.00,0.25,254
201,25654,13851,-1,-10,353,3.46,10,0,-17,39,-10,88005,1173,-1.74,-0.25,9.64,0.06,-0.16,0.13,1368,972,-294,24,25,0,0, 35.702171, 51.350906,0.00,0.25,254
201,26041,14138,-1,-10,353,3.46,10,0,-18,39,-10,88002,1173,-1.77,-0.27,9.64,0.00,-0.04,-0.05,1367,971,-293,24,25,0,0, 35.702171, 51.350906,0.00,0.25,254
201,26325,14523,-1,-10,352,4.89,10,0,-18,39,-10,88000,1173,-1.78,-0.21,9.63,0.06,0.26,-0.17,1367,972,-293,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,26519,14809,-1,-10,353,4.89,10,0,-17,39,-10,88003,1173,-1.75,-0.28,9.64,0.12,-0.22,0.20,1366,973,-294,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,26711,14999,-1,-10,352,4.89,10,0,-17,39,-10,88003,1173,-1.73,-0.22,9.64,-0.06,0.14,-0.05,1366,972,-294,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,26899,15193,-1,-10,353,4.89,11,0,-18,39,-10,88003,1173,-1.83,-0.31,9.62,0.00,-0.10,0.13,1366,973,-294,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,27187,15383,-1,-10,353,4.89,10,0,-18,39,-10,88003,1173,-1.75,-0.25,9.64,-0.18,-0.10,0.01,1366,973,-292,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,27475,15671,-1,-10,353,4.89,11,0,-17,40,-10,88003,1173,-1.74,-0.24,9.64,0.12,-0.04,0.13,1366,973,-292,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,27761,15956,-1,-10,353,3.46,10,0,-18,39,-10,88002,1173,-1.79,-0.23,9.63,-0.12,0.08,0.01,1367,972,-293,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,27953,16245,-1,-10,353,4.89,10,0,-18,39,-10,88005,1172,-1.77,-0.21,9.64,0.12,-0.04,0.13,1368,972,-293,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,28145,16436,-1,-10,353,3.46,11,0,-17,39,-10,88004,1173,-1.79,-0.20,9.63,-0.06,-0.16,0.20,1368,972,-293,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,28334,16627,-1,-10,353,4.89,10,0,-18,39,-10,88005,1173,-1.76,-0.27,9.64,0.00,0.26,0.01,1367,972,-293,25,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,28526,16819,-1,-10,352,4.89,10,0,-18,39,-10,88003,1173,-1.72,-0.27,9.64,-0.06,-0.35,0.01,1367,972,-293,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
201,28718,17009,-2,-10,352,4.89,10,0,-18,39,-10,88008,1173,-1.74,-0.17,9.64,0.00,0.32,-0.17,1367,972,-293,24,25,0,0, 35.702171, 51.350925,0.00,0.13,254
