checksumStart,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,1055790,-3,21,330,1.00,-15,15,0,0,31,88546,1122,3.81,-0.70,9.67,-0.20,-0.07,-0.20,128,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1056076,-4,21,330,1.00,-15,12,0,0,26,88550,1122,3.77,-0.72,9.58,-0.20,-0.13,-0.26,127,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1056363,-3,21,330,1.00,-15,25,0,0,37,88552,1122,3.83,-0.66,9.60,0.22,-0.19,-0.02,130,1109,200,-14,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1056651,-4,21,330,1.00,-15,14,0,0,30,88551,1122,3.81,-0.68,9.46,0.10,-0.13,0.29,124,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1056936,-4,21,330,1.00,-15,12,0,0,26,88549,1122,3.81,-0.71,9.51,0.04,0.11,-0.45,130,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1057223,-3,22,330,1.00,-15,25,0,0,37,88546,1122,3.85,-0.73,9.42,0.22,0.05,-0.32,125,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1057511,-4,22,330,1.00,-15,16,0,0,31,88550,1122,3.77,-0.69,9.58,0.04,0.30,-0.02,128,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1057894,-3,21,330,1.00,-15,11,0,0,26,88548,1122,3.81,-0.70,9.51,-0.02,-0.07,-0.08,127,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1058277,-4,21,330,1.00,-15,12,0,0,25,88549,1122,3.82,-0.60,9.57,-0.14,-0.07,0.29,128,1109,200,-14,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1058564,-3,21,330,1.00,-15,23,0,0,34,88548,1122,3.74,-0.71,9.57,-0.02,-0.07,-0.14,125,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1058755,-4,21,330,1.00,-15,11,0,0,25,88548,1122,3.86,-0.69,9.55,-0.14,0.17,0.04,126,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1059042,-3,21,330,1.00,-15,18,0,0,30,88549,1122,3.78,-0.64,9.57,-0.20,0.11,0.23,127,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1059233,-4,21,330,1.00,-15,14,0,0,28,88552,1122,3.83,-0.68,9.59,-0.14,-0.13,0.16,125,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1059425,-4,21,330,1.00,-15,24,0,0,36,88547,1122,3.78,-0.67,9.55,0.28,0.11,0.04,125,1111,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1059616,-4,21,330,1.00,-15,10,0,0,26,88550,1122,3.77,-0.67,9.54,-0.02,0.05,-0.08,124,1109,200,-14,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1059809,-4,21,330,1.00,-15,25,0,0,38,88548,1122,3.78,-0.72,9.64,-0.20,-0.13,-0.08,126,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1059999,-4,21,330,1.00,-15,11,0,0,27,88548,1122,3.82,-0.66,9.54,-0.14,-0.01,-0.14,126,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1060286,-3,21,330,1.00,-15,25,0,0,37,88548,1122,3.84,-0.70,9.50,-0.08,-0.19,0.04,126,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1060573,-4,21,330,1.00,-15,15,0,0,31,88550,1122,3.85,-0.69,9.56,-0.14,-0.19,0.04,126,1110,200,-14,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1060765,-4,21,330,1.00,-15,21,0,0,35,88549,1122,3.77,-0.70,9.49,-0.02,0.11,-0.08,129,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1060956,-3,21,330,1.00,-15,11,0,0,27,88550,1122,3.79,-0.75,9.54,0.04,-0.13,-0.20,125,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1061147,-4,21,330,1.00,-15,25,0,0,38,88548,1122,3.80,-0.66,9.55,-0.20,0.17,0.10,123,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1061339,-4,21,330,1.00,-15,10,0,0,26,88550,1122,3.84,-0.65,9.61,-0.14,-0.01,0.10,129,1110,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1061530,-3,21,330,1.00,-15,25,0,0,39,88546,1122,3.87,-0.68,9.53,0.10,-0.01,0.04,127,1109,200,-15,27,100,12, 35.702068, 51.350697,1240.00,0.12,254

201,1061818,-3,21,330,1.00,-15,10,0,0,27,88548,1122,3.80,-0.64,9.55,0.04,0.05,0.10,129,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1062104,-4,21,330,1.00,-15,16,0,0,29,88549,1122,3.76,-0.67,9.61,-0.14,-0.01,0.04,124,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1062391,-3,21,330,1.00,-15,23,0,0,37,88547,1122,3.83,-0.69,9.55,-0.02,-0.01,-0.08,128,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1062680,-3,21,330,1.00,-15,10,0,0,26,88546,1122,3.86,-0.68,9.53,-0.02,0.24,-0.08,127,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1062966,-3,21,330,1.00,-15,19,0,0,31,88551,1122,3.79,-0.72,9.63,0.04,-0.01,-0.02,128,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1063157,-4,21,330,1.00,-15,12,0,0,27,88550,1122,3.81,-0.69,9.60,0.04,-0.01,-0.02,123,1110,200,-14,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1063349,-3,21,330,1.00,-15,24,0,0,37,88547,1122,3.80,-0.72,9.58,0.16,0.05,-0.08,127,1110,200,-14,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1063539,-3,21,330,1.00,-15,10,0,0,26,88547,1122,3.82,-0.69,9.54,0.16,-0.13,-0.14,126,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1063732,-3,21,330,1.00,-15,24,0,0,38,88546,1122,3.78,-0.67,9.59,-0.08,0.05,0.29,125,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1063922,-3,21,330,1.00,-15,11,0,0,26,88550,1122,3.76,-0.65,9.53,-0.08,-0.01,-0.08,125,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1064115,-3,21,330,1.00,-15,19,0,0,34,88551,1122,3.83,-0.66,9.58,-0.14,-0.07,0.04,125,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1064401,-4,21,330,1.00,-15,10,0,0,26,88550,1122,3.86,-0.69,9.52,-0.02,-0.01,0.10,127,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1064689,-4,21,330,1.00,-15,24,0,0,35,88550,1122,3.80,-0.66,9.62,0.16,-0.07,0.04,128,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1064975,-4,21,330,1.00,-15,19,0,0,34,88548,1122,3.86,-0.66,9.63,0.04,-0.07,-0.08,127,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1065263,-4,21,330,1.00,-15,11,0,0,26,88548,1122,3.80,-0.67,9.60,-0.14,-0.01,-0.02,126,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1065454,-4,21,330,1.00,-15,23,0,0,37,88548,1122,3.81,-0.65,9.59,-0.08,-0.13,-0.02,128,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1065742,-3,21,330,1.00,-15,10,0,0,27,88549,1122,3.80,-0.73,9.62,0.04,0.11,0.10,129,1110,200,-14,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1066028,-3,21,330,1.00,-15,18,0,0,30,88551,1122,3.83,-0.68,9.57,0.04,-0.13,-0.20,130,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1066315,-4,21,330,1.00,-15,23,0,0,36,88549,1122,3.80,-0.69,9.59,0.04,0.11,-0.08,129,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1066602,-3,22,330,1.00,-15,11,0,0,26,88549,1122,3.81,-0.74,9.63,0.04,0.17,-0.02,124,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1066890,-3,21,330,1.00,-15,20,0,0,32,88550,1122,3.78,-0.72,9.54,-0.14,-0.13,-0.02,127,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1067176,-4,21,330,1.00,-15,20,0,0,35,88550,1122,3.81,-0.73,9.57,0.04,-0.07,0.04,127,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1067463,-4,21,330,1.00,-15,11,0,0,26,88549,1122,3.85,-0.65,9.59,0.04,-0.19,-0.14,126,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1067751,-3,21,330,1.00,-15,23,0,0,35,88546,1122,3.78,-0.69,9.60,-0.02,-0.13,-0.02,126,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1067942,-4,22,330,1.00,-15,11,0,0,26,88544,1122,3.75,-0.69,9.55,-0.08,-0.07,0.10,129,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1068133,-3,21,330,1.00,-15,25,0,0,38,88552,1122,3.80,-0.69,9.54,-0.02,-0.07,-0.02,124,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1068421,-4,21,330,1.00,-15,13,0,0,30,88548,1122,3.80,-0.68,9.69,-0.02,-0.01,-0.08,127,1109,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1068708,-3,21,330,1.00,-15,15,0,0,28,88547,1122,3.80,-0.66,9.60,-0.02,0.05,-0.08,126,1110,200,-15,27,100,12, 35.702076, 51.350685,1240.00,0.08,254

201,1068995,-3,21,330,1.00,-15,26,0,0,38,88549,1122,3.80,-0.65,9.70,-0.02,-0.07,0.10,127,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1069282,-4,21,330,1.00,-15,13,0,0,29,88550,1122,3.82,-0.71,9.58,0.10,-0.13,-0.02,128,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1069569,-4,21,330,1.00,-15,13,0,0,27,88548,1122,3.86,-0.71,9.52,-0.02,0.30,0.04,126,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1069952,-4,21,330,1.00,-15,18,0,0,29,88547,1122,3.85,-0.75,9.60,-0.02,0.05,-0.02,128,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1070238,-4,21,330,1.00,-15,23,0,0,36,88548,1122,3.75,-0.71,9.63,-0.08,0.05,0.10,126,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1070526,-3,21,330,1.00,-15,11,0,0,26,88545,1122,3.77,-0.67,9.57,-0.14,0.05,-0.02,124,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1070814,-4,21,330,1.00,-15,21,0,0,33,88547,1122,3.80,-0.66,9.43,0.04,0.17,0.04,129,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1071099,-4,21,330,1.00,-15,23,0,0,37,88548,1122,3.85,-0.66,9.58,0.04,-0.01,0.04,128,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1071387,-3,21,330,1.00,-15,11,0,0,27,88550,1122,3.80,-0.64,9.59,0.10,-0.13,-0.08,125,1109,200,-14,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1071675,-4,21,330,1.00,-15,22,0,0,34,88549,1122,3.77,-0.70,9.55,-0.02,0.05,-0.02,125,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1071962,-4,21,330,1.00,-15,22,0,0,37,88549,1122,3.85,-0.63,9.55,0.34,-0.07,-0.08,127,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1072153,-4,21,330,1.00,-15,16,0,0,30,88551,1122,3.83,-0.70,9.56,-0.08,-0.07,-0.02,127,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1072440,-4,21,330,1.00,-15,24,0,0,38,88550,1122,3.81,-0.68,9.65,-0.02,0.11,-0.02,128,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1072632,-4,21,330,1.00,-15,13,0,0,28,88550,1122,3.80,-0.77,9.61,-0.02,-0.07,0.16,127,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1072823,-4,21,330,1.00,-15,19,0,0,34,88550,1122,3.81,-0.68,9.54,-0.08,0.17,0.16,125,1109,200,-14,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1073014,-3,21,330,1.00,-15,16,0,0,29,88548,1122,3.84,-0.69,9.63,-0.08,-0.13,0.10,126,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1073206,-3,21,330,1.00,-15,14,0,0,29,88548,1122,3.84,-0.62,9.53,-0.08,0.17,-0.08,122,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1073397,-3,22,330,1.00,-15,21,0,0,34,88544,1122,3.82,-0.69,9.53,0.04,-0.19,-0.08,124,1110,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1073588,-4,21,330,1.00,-15,10,0,0,26,88546,1122,3.80,-0.71,9.54,0.04,-0.19,-0.14,128,1109,200,-15,27,100,12, 35.702080, 51.350689,1240.00,0.06,254

201,1073875,-4,21,330,1.00,-15,18,0,0,29,88548,1122,3.82,-0.66,9.43,0.10,-0.19,-0.20,130,1109,200,-14,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1074162,-3,21,330,1.00,-15,23,0,0,37,88549,1122,3.79,-0.65,9.59,-0.02,0.05,-0.20,126,1109,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1074450,-4,21,330,1.00,-15,11,0,0,27,88547,1122,3.77,-0.73,9.61,-0.08,-0.01,0.16,125,1110,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1074738,-4,21,330,1.00,-15,19,0,0,31,88547,1122,3.79,-0.71,9.57,-0.08,-0.13,-0.02,128,1109,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1075024,-3,21,331,1.00,-15,22,0,0,36,88551,1122,3.79,-0.69,9.58,-0.02,-0.01,-0.02,128,1109,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1075216,-4,21,330,1.00,-15,14,0,0,29,88548,1122,3.81,-0.68,9.61,-0.02,-0.07,-0.02,124,1109,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1075406,-4,21,330,1.00,-15,16,0,0,31,88547,1122,3.75,-0.71,9.57,0.16,0.11,-0.02,127,1110,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1075598,-4,21,330,1.00,-15,18,0,0,31,88550,1122,3.83,-0.70,9.62,-0.02,-0.13,0.04,122,1110,200,-15,27,100,12, 35.702076, 51.350697,1240.00,0.02,254

201,1075789,-3,21,330,1.00,-15,11,0,0,26,88550,1122,3.79,-0.69,9.60,-0.02,-0.01,0.04,122,1109,200,-14,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1075981,-3,21,331,1.00,-15,24,0,0,36,88550,1122,3.80,-0.66,9.55,-0.39,0.05,0.04,126,1109,200,-14,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1076172,-4,21,330,1.00,-15,10,0,0,26,88552,1122,3.86,-0.65,9.52,0.10,-0.07,-0.20,128,1109,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1076459,-3,21,330,1.00,-15,19,0,0,30,88548,1122,3.80,-0.65,9.61,-0.02,0.17,0.04,126,1109,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1076747,-4,21,330,1.00,-15,20,0,0,34,88549,1122,3.85,-0.65,9.57,0.04,-0.01,0.04,128,1110,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1077033,-4,21,330,1.00,-15,10,0,0,25,88551,1122,3.82,-0.71,9.56,0.10,-0.07,0.04,125,1110,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1077225,-4,21,331,1.00,-15,25,0,0,38,88548,1122,3.82,-0.72,9.56,0.04,0.05,-0.08,121,1109,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1077415,-3,21,330,1.00,-15,11,0,0,26,88549,1122,3.82,-0.73,9.58,-0.14,-0.07,-0.02,124,1109,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1077608,-3,21,330,1.00,-15,18,0,0,32,88552,1122,3.79,-0.67,9.57,-0.14,0.17,-0.14,128,1109,200,-15,27,100,12, 35.702080, 51.350700,1240.00,0.05,254

201,1077895,-4,21,330,1.00,-15,11,0,0,26,88549,1122,3.79,-0.68,9.55,-0.02,-0.01,0.04,126,1110,200,-15,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1078181,-3,21,330,1.00,-15,22,0,0,33,88547,1122,3.84,-0.68,9.57,0.04,-0.01,-0.02,126,1110,200,-15,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1078469,-3,22,330,1.00,-15,19,0,0,34,88548,1122,3.81,-0.66,9.56,-0.02,-0.13,0.10,129,1109,200,-15,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1078757,-3,21,330,1.00,-15,11,0,0,26,88548,1122,3.82,-0.67,9.63,-0.02,-0.07,-0.14,127,1110,200,-14,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1079139,-3,21,330,1.00,-15,14,0,0,26,88548,1122,3.85,-0.69,9.54,0.10,-0.07,0.04,128,1110,200,-15,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1079426,-3,21,330,1.00,-15,26,0,0,37,88549,1122,3.80,-0.71,9.54,-0.02,0.11,-0.02,128,1110,200,-15,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1079618,-3,21,330,1.00,-15,12,0,0,27,88550,1122,3.81,-0.65,9.58,-0.08,-0.07,0.04,126,1109,200,-15,27,100,12, 35.702087, 51.350700,1240.00,0.09,254

201,1079809,-4,21,330,1.00,-15,23,0,0,37,88550,1122,3.84,-0.69,9.63,0.04,-0.07,-0.20,128,1110,200,-14,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1080000,-4,21,330,1.00,-15,14,0,0,29,88551,1122,3.83,-0.58,9.53,0.04,-0.19,-0.02,129,1110,200,-14,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1080192,-4,21,330,1.00,-15,17,0,0,32,88552,1122,3.79,-0.72,9.54,0.10,-0.07,-0.02,124,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1080478,-3,21,330,1.00,-15,11,0,0,26,88549,1122,3.84,-0.68,9.57,0.10,-0.07,-0.02,127,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1080766,-3,21,330,1.00,-15,25,0,0,36,88550,1122,3.77,-0.70,9.51,-0.02,-0.07,0.16,126,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1081053,-4,21,330,1.00,-15,16,0,0,32,88551,1122,3.82,-0.64,9.58,0.16,0.17,-0.08,125,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1081339,-3,21,330,1.00,-15,11,0,0,26,88551,1122,3.78,-0.71,9.61,-0.14,-0.07,-0.02,126,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1081627,-4,21,330,1.00,-15,25,0,0,37,88551,1122,3.82,-0.68,9.59,0.16,-0.07,-0.02,126,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1082010,-3,21,329,1.00,-15,25,0,0,39,88550,1122,3.58,-0.77,9.47,0.47,-0.31,-0.32,129,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1082297,-4,22,329,1.00,-15,11,0,0,28,88549,1122,3.91,-0.78,9.39,-0.39,-0.13,0.04,127,1110,200,-14,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1082584,-4,21,330,1.00,-15,16,0,0,28,88550,1122,3.85,-0.70,9.46,-0.08,-0.01,-0.14,124,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1082871,-3,21,330,1.00,-15,25,0,0,38,88549,1122,3.87,-0.72,9.57,-0.08,-0.07,0.16,128,1110,200,-14,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1083254,-4,21,330,1.00,-15,21,0,0,36,88550,1122,3.77,-0.71,9.53,-0.02,0.05,0.10,127,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1083541,-3,21,330,1.00,-15,11,0,0,26,88549,1122,3.84,-0.64,9.60,0.28,-0.19,-0.02,126,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1083829,-4,21,331,1.00,-15,24,0,0,36,88550,1122,3.81,-0.68,9.54,-0.27,0.05,0.10,127,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1084115,-3,21,330,1.00,-15,21,0,0,36,88551,1122,3.82,-0.73,9.51,-0.08,0.17,-0.02,123,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1084307,-4,21,330,1.00,-15,17,0,0,31,88552,1122,3.81,-0.72,9.66,0.04,-0.19,-0.08,125,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1084594,-4,21,330,1.00,-15,24,0,0,38,88549,1122,3.73,-0.63,9.57,0.16,0.11,0.10,126,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1084785,-4,21,330,1.00,-15,12,0,0,27,88554,1122,3.79,-0.71,9.62,-0.20,-0.01,-0.14,126,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1084977,-3,21,330,1.00,-15,18,0,0,32,88552,1122,3.84,-0.68,9.64,-0.08,0.11,-0.02,129,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1085168,-3,21,330,1.00,-15,17,0,0,30,88547,1122,3.83,-0.66,9.58,0.16,0.05,-0.14,128,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1085360,-3,21,330,1.00,-15,13,0,0,28,88552,1122,3.82,-0.69,9.66,0.04,-0.07,-0.20,125,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1085550,-4,21,330,1.00,-15,21,0,0,34,88553,1122,3.79,-0.71,9.53,0.04,0.11,-0.14,125,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1085839,-3,21,330,1.00,-15,16,0,0,31,88551,1122,3.83,-0.62,9.55,-0.08,-0.01,0.04,129,1109,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1086125,-3,21,330,1.00,-15,11,0,0,26,88550,1122,3.79,-0.65,9.54,-0.08,-0.01,0.04,126,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

201,1086412,-4,21,330,1.00,-15,23,0,0,35,88554,1122,3.81,-0.70,9.57,0.04,0.05,-0.08,127,1110,200,-15,27,100,12, 35.702091, 51.350704,1240.00,0.01,254

